name,time,value,.lower,.upper,.width,.point,.interval
E,0,5.993673241429139,5.824364718728796,6.185339446032776,0.5,median,qi
E,1,6.010870988520359,5.714769330748312,6.3032533024424815,0.5,median,qi
E,2,6.014250721752758,5.562513751176717,6.473073645233895,0.5,median,qi
E,3,6.040613024118397,5.463224309861098,6.610907957326481,0.5,median,qi
E,4,6.056752221365383,5.397777291087265,6.704261737510407,0.5,median,qi
E,5,6.070400341659189,5.346950826953219,6.79928826332989,0.5,median,qi
E,6,6.083616790966218,5.315242728659336,6.867132224408705,0.5,median,qi
E,7,6.099188967336392,5.285244261950497,6.931309501676873,0.5,median,qi
E,8,6.246097861291345,5.399854932266757,7.207745848890774,0.5,median,qi
E,9,6.371337530897117,5.49881302801856,7.402760912094154,0.5,median,qi
E,10,6.47386249458401,5.54630663143068,7.536048662913343,0.5,median,qi
E,11,6.5718481779473805,5.546047697622557,7.676372655217516,0.5,median,qi
E,12,6.667030284866494,5.564389123730679,7.814527674767119,0.5,median,qi
E,13,6.742807987696237,5.6029802586997715,8.005711500858334,0.5,median,qi
E,14,6.824064002549816,5.65191922252276,8.167939242476054,0.5,median,qi
E,15,7.000109506688357,5.79466449825583,8.369477072061985,0.5,median,qi
E,16,7.1374146882404865,5.89874097058577,8.621244090861659,0.5,median,qi
E,17,7.287962431844598,5.973525155892236,8.850663976792466,0.5,median,qi
E,18,7.426940259944615,6.048180325982962,9.109846315439238,0.5,median,qi
E,19,7.584703533037097,6.094467420701863,9.319954352795863,0.5,median,qi
E,20,7.734873550341842,6.193392480038604,9.5434246440067,0.5,median,qi
E,21,7.885074670944103,6.241484102949109,9.69978404114653,0.5,median,qi
E,22,8.03881788314115,6.3688088593672525,9.915483707883823,0.5,median,qi
E,23,8.177682049000317,6.468687743851622,10.125351051937985,0.5,median,qi
E,24,8.319501790752764,6.5468730671116715,10.341962825002309,0.5,median,qi
E,25,8.48405127584608,6.646759444917468,10.548138312742331,0.5,median,qi
E,26,8.630304837092776,6.708550256673911,10.78290142547717,0.5,median,qi
E,27,8.76333855876988,6.760445740504832,11.013168529408775,0.5,median,qi
E,28,8.880348922535651,6.855182520950544,11.277412592994137,0.5,median,qi
E,29,9.185204564205176,7.027984440879089,11.547040965142683,0.5,median,qi
E,30,9.393042812006971,7.179531090623418,11.929559717295033,0.5,median,qi
E,31,9.620118884830944,7.303805188945058,12.19930418722747,0.5,median,qi
E,32,9.812012667194091,7.47430924462149,12.519740102824782,0.5,median,qi
E,33,10.025433374621162,7.624997583106255,12.895337333228731,0.5,median,qi
E,34,10.157845153916371,7.758704612576019,13.212690656569698,0.5,median,qi
E,35,10.389000163071248,7.873771256562937,13.620220304687344,0.5,median,qi
E,36,10.718303353088215,8.075326886205387,13.975370273961738,0.5,median,qi
E,37,11.093471297913233,8.313455333302269,14.46987317556408,0.5,median,qi
E,38,11.370733999548179,8.577939107839601,14.94066660517954,0.5,median,qi
E,39,11.659433345096591,8.773814240986574,15.38378824193422,0.5,median,qi
E,40,11.910288738529236,8.955784500129736,15.909098198405196,0.5,median,qi
E,41,12.183038837567226,9.170644980993547,16.35599011708567,0.5,median,qi
E,42,12.5027550792176,9.344496638429531,16.912599996430302,0.5,median,qi
E,43,12.863602542528511,9.595086325955391,17.22790387160927,0.5,median,qi
E,44,13.203229521319168,9.846430299906306,17.74892288506957,0.5,median,qi
E,45,13.540202511862738,10.087355159399134,18.09739396731696,0.5,median,qi
E,46,13.905532800061838,10.338138962640032,18.563304634095942,0.5,median,qi
E,47,14.320854667172974,10.541660765667148,19.139201212999403,0.5,median,qi
E,48,14.674581805770913,10.725923966894348,19.693123797528198,0.5,median,qi
E,49,15.0187326673821,10.938911746592742,20.194982940022246,0.5,median,qi
E,50,15.361056358604822,11.181820344554975,20.525524059453566,0.5,median,qi
E,51,15.537595675243526,11.445380140602737,20.93965986042845,0.5,median,qi
E,52,15.940852244886315,11.727580317478346,21.382965314557666,0.5,median,qi
E,53,16.220199947149872,11.939731297757886,21.902815208851223,0.5,median,qi
E,54,16.56953546140835,12.137792507126465,22.415897826434303,0.5,median,qi
E,55,16.89927698997959,12.332339819412326,22.99316837378083,0.5,median,qi
E,56,17.264642382651484,12.505314512762101,23.57877797436192,0.5,median,qi
E,57,17.449253803370972,12.85707316191648,24.051646933219757,0.5,median,qi
E,58,17.833356081688997,13.18407437457596,24.719122707070582,0.5,median,qi
E,59,18.146967361325906,13.419984691905508,25.281699699500173,0.5,median,qi
E,60,18.611357964854086,13.67925530108133,25.72240587168297,0.5,median,qi
E,61,19.238841365092913,13.958475434193861,26.27712936459203,0.5,median,qi
E,62,19.543195293707818,14.235920678073155,26.91508000558207,0.5,median,qi
E,63,19.98190992125822,14.550869984943372,27.726667417582725,0.5,median,qi
E,64,20.444971420086354,14.929102704267613,27.922305995009303,0.5,median,qi
E,65,20.897133114269124,15.357326201840191,28.26759447779135,0.5,median,qi
E,66,21.240046930809882,15.598134258421194,28.865718615788722,0.5,median,qi
E,67,21.66487012717601,15.916001897770693,29.4600578158239,0.5,median,qi
